Component, Timestamp, rss, Heap total, Heap used, External
../ETL/SenMLParse.js,1530743632196,56287232,35987456,31849240,36257403
../ETL/SenMLParse.js,1530743633364,81219584,37036032,33785016,36250665
./BlockWindowAverage.js,1530743642967,66203648,37036032,33252120,36246335
./DistinctApproxCount.js,1530743647617,88150016,38084608,34354272,36246308
./KalmanFilter.js,1530743651909,83050496,38084608,34264336,36251827
./DistinctApproxCount.js,1530743652658,56360960,35987456,31714352,36250820
./Accumulator.js,1530743652905,92028928,38608896,35015552,36264574
../ETL/ETLSenMLSpout.js,1530743652920,71327744,39133184,35531072,36372998
./SimpleLinearRegression.js,1530743653142,57110528,35987456,32431584,36269657
../ETL/ETLSenMLSpout.js,1530743653397,57233408,37036032,32387040,36307361
./KalmanFilter.js,1530743653640,56528896,35463168,31852960,36253832
./Accumulator.js,1530743653651,62078976,35987456,32551312,36260280
./BlockWindowAverage.js,1530743656615,56266752,35463168,31645968,36255317
./SimpleLinearRegression.js,1530743659384,62337024,38608896,35453840,36269660
./Plot.js,1530743679740,76304384,43864064,40133440,36252408
../ETL/SenMLParse.js,1530743680519,45678592,35987456,32199976,36258407
./Accumulator.js,1530743683948,37748736,39657472,35138208,36261206
../ETL/ETLSenMLSpout.js,1530743702094,20353024,39657472,35679208,36372897
./DistinctApproxCount.js,1530743703428,20643840,39133184,35471784,36255332
./KalmanFilter.js,1530743703458,27209728,38084608,34907360,36256832
./SimpleLinearRegression.js,1530743703725,29675520,35987456,33255920,36283622
./BlockWindowAverage.js,1530743707291,15048704,35987456,32031128,36261311
../ETL/SenMLParse.js,1530743707342,21995520,37560320,34477328,36255092
./BlockWindowAverage.js,1530743707352,20336640,37560320,33855264,36259808
./DistinctApproxCount.js,1530743711252,16216064,35987456,32108296,36250323
./SimpleLinearRegression.js,1530743711276,19374080,39133184,35690960,36244913
./KalmanFilter.js,1530743729828,15376384,35987456,32638080,36259817
../ETL/ETLSenMLSpout.js,1530743737454,12398592,37036032,33367736,36307462
../ETL/SenMLParse.js,1530743792495,15970304,35987456,32120336,36242930
./DistinctApproxCount.js,1530743809986,18128896,39657472,36889360,36250814
./Plot.js,1530743810424,16805888,45436928,41269344,36241825
./KalmanFilter.js,1530743814080,18501632,39133184,35185528,36249313
../ETL/ETLSenMLSpout.js,1530743816100,14938112,39657472,36020064,36372897
./BlockWindowAverage.js,1530743833714,17031168,37560320,34805488,36266909
./DistinctApproxCount.js,1530743835784,19234816,35987456,32573360,36243322
./KalmanFilter.js,1530743844507,18190336,36511744,33235504,36252816
../ETL/ETLSenMLSpout.js,1530743844504,14831616,37036032,33106592,36307361
./BlockWindowAverage.js,1530743850147,17801216,38084608,34455576,36246321
./BlockWindowAverage.js,1530743850150,15372288,35987456,32487560,36241826
./SimpleLinearRegression.js,1530743850771,18100224,41754624,38256552,36258307
./Plot.js,1530743917291,27152384,45436928,34884680,36241827
../ETL/ETLSenMLSpout.js,1530743924585,18079744,40706048,36886600,36372961
./DistinctApproxCount.js,1530743975611,17915904,40706048,37156168,36241826
./KalmanFilter.js,1530743979000,15376384,39657472,36073136,36241828
./SimpleLinearRegression.js,1530743984354,14561280,37036032,33138440,36253451
./SimpleLinearRegression.js,1530743984419,14708736,37036032,33140648,36253451
../ETL/SenMLParse.js,1530743984490,13127680,38084608,34304520,36245346
../ETL/SenMLParse.js,1530743984504,13324288,38084608,34306720,36245346
../ETL/SenMLParse.js,1530743984867,14184448,36511744,32713168,36250904
./Accumulator.js,1530744009402,14888960,35987456,32091952,36243112
./Accumulator.js,1530744009410,15044608,35987456,32094696,36243112
./DistinctApproxCount.js,1530744013097,14737408,37036032,33544176,36241826
./Accumulator.js,1530744083422,15605760,39657472,34655008,36252227
./Accumulator.js,1530744083442,15773696,39657472,34657208,36252227
