Component, Timestamp, rss, Heap total, Heap used, External
./SimpleLinearRegression.js,1530743319676,67641344,59056128,36853608,37853075
../ETL/ETLSenMLSpout.js,1530743319959,75304960,61218816,35324048,36776995
./Accumulator.js,1530743320113,67674112,59056128,34756080,37853220
./DistinctApproxCount.js,1530743320130,67731456,60694528,37660664,37145526
./BlockWindowAverage.js,1530743320404,67518464,60694528,36799144,37206535
./KalmanFilter.js,1530743320424,66699264,58531840,36107640,37827512
../ETL/SenMLParse.js,1530743320677,68067328,59121664,37505624,37853400
./SimpleLinearRegression.js,1530743320791,67735552,59056128,36944384,37853694
../ETL/ETLSenMLSpout.js,1530743320981,75358208,61218816,35386552,36777096
./DistinctApproxCount.js,1530743321118,67809280,60694528,37735696,37146127
./Accumulator.js,1530743321147,67739648,59056128,34813856,37853520
./BlockWindowAverage.js,1530743321335,67571712,60694528,36855480,37207136
./KalmanFilter.js,1530743321488,66756608,58531840,36175688,37828113
../ETL/SenMLParse.js,1530743321626,68157440,59121664,37590344,37854607
./SimpleLinearRegression.js,1530743321717,67792896,59056128,37002624,37854311
./Plot.js,1530743321968,76496896,63315968,36771872,36254496
../ETL/ETLSenMLSpout.js,1530743321993,75415552,61218816,35440440,36777197
./DistinctApproxCount.js,1530743322133,67874816,60694528,37801016,37146726
./Accumulator.js,1530743322154,67792896,59056128,34865400,37853821
./BlockWindowAverage.js,1530743322373,67616768,60694528,36902840,37207735
./KalmanFilter.js,1530743322554,66809856,58531840,36233552,37828712
../ETL/SenMLParse.js,1530743322691,68231168,59121664,37663928,37855812
./SimpleLinearRegression.js,1530743322795,67846144,59056128,37056816,37854926
./Plot.js,1530743322939,76550144,63315968,36821616,36254597
../ETL/ETLSenMLSpout.js,1530743322980,75468800,61218816,35494168,36777298
./DistinctApproxCount.js,1530743323122,67936256,60694528,37861752,37147328
./Accumulator.js,1530743323144,67837952,59056128,34913392,37854121
./BlockWindowAverage.js,1530743323388,67661824,60694528,36948624,37208337
./KalmanFilter.js,1530743323406,66867200,58531840,36288400,37829314
../ETL/SenMLParse.js,1530743323631,68300800,59121664,37735016,37857020
./SimpleLinearRegression.js,1530743323773,67973120,59056128,37112664,37855543
./Plot.js,1530743324017,76632064,63315968,36901272,36255472
../ETL/ETLSenMLSpout.js,1530743324052,75530240,61218816,35547200,36777399
./Accumulator.js,1530743324156,67911680,59056128,34987360,37854422
./DistinctApproxCount.js,1530743324186,68050944,60694528,37922280,37147927
./BlockWindowAverage.js,1530743324407,67706880,60694528,36993288,37208936
